Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
766,Southern Hill Myna,Gracula indica,Least Concern,Schedule-I,X,X,-53.19338101,34.32729059,-6.29339419,11.25396154,9.8390465,0.0315,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
767,Common Starling,Sturnus vulgaris,Least Concern,Schedule-IV,X,X,-64.67037916,36.52981125,-14.33702924,11.04055659,13.0371474,0.1346,Moderate Decline,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local
768,Rosy Starling,Pastor roseus,Least Concern,Schedule-IV,X,X,171.2555439,80.96557079,9.906487184,6.011632465,121.625617,0.1123,Strong Increase,Strong Increase,Very Large,Low,Trends & Range Size,Migratory-Long-Distance
769,Asian Pied Starling,Gracupica contra,Least Concern,Schedule-IV,X,X,38.94606623,29.90454133,1.624772155,3.912787865,130.1972358,0.0625,Uncertain,Uncertain,Very Large,Low,Trends & Range Size,Resident
770,Brahminy Starling,Sturnia pagodarum,Least Concern,Schedule-IV,X,X,-1.040680702,18.09527148,1.559534545,3.405909949,174.8311888,0.0836,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
771,Chestnut-tailed Starling,Sturnia malabarica,Least Concern,Schedule-IV,X,X,12.55993901,28.94308653,-0.38668032,4.437650692,102.6235405,0.0978,Uncertain,Uncertain,Very Large,Low,Trends & Range Size,Resident
772,Malabar Starling,Sturnia blythii,Least Concern,Schedule-IV,,X,NA,NA,1.664837768,10.51662095,12.5192806,0.0369,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
773,White-headed Starling,Sturnia erythropygia,Least Concern,Schedule-IV,,X,NA,NA,-2.869380463,7.938933694,0.5012876,0.0041,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
774,Common Myna,Acridotheres tristis,Least Concern,Schedule-IV,X,X,11.36963944,8.864241486,0.337489194,1.297471035,222.6630139,0.0623,Stable,Stable,Very Large,Low,Trends & Range Size,Resident
775,Bank Myna,Acridotheres ginginianus,Least Concern,Schedule-IV,X,X,-25.8709133,21.88152617,-7.814607036,3.77693395,88.377533,0.0771,Stable,Strong Decline,Large,Moderate,Trends & Range Size,Resident
776,Jungle Myna,Acridotheres fuscus,Least Concern,Schedule-IV,X,X,38.82763901,33.41728792,-5.915023992,3.26624506,93.7465341,0.0674,Uncertain,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
777,Great Myna,Acridotheres grandis,Least Concern,Schedule-IV,,X,NA,NA,-4.431107902,29.14772906,9.8992458,0.0586,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
778,Spot-winged Starling,Saroglossa spilopterus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,1.0605759,0.0509,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Local
779,Jerdon's Leafbird,Chloropsis jerdoni,Least Concern,Schedule-IV,X,X,-46.7842101,14.96277822,-1.748466475,4.670109,63.9781236,0.0809,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
780,Golden-fronted Leafbird,Chloropsis aurifrons,Least Concern,Schedule-IV,X,X,-37.61172487,17.5028028,-4.898731356,4.174468686,54.8961401,0.0628,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
781,Orange-bellied Leafbird,Chloropsis hardwickii,Least Concern,Schedule-IV,X,X,-6.170923942,83.91921503,5.057272265,18.83670028,14.8959057,0.0775,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
782,Thick-billed Flowerpecker,Dicaeum agile,Least Concern,Schedule-IV,X,X,-53.72297315,11.72817863,-1.145892688,4.313168324,91.6001346,0.1046,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
783,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Least Concern,Schedule-IV,X,X,12.08112344,24.03383725,8.226274537,4.555680898,95.1436531,0.0736,Stable,Strong Increase,Large,Low,Trends & Range Size,Resident
784,Nilgiri Flowerpecker,Dicaeum concolor,Least Concern,Schedule-IV,X,X,-67.82056433,19.82623664,4.68541548,12.81463751,15.6180508,0.0357,Moderate Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
785,Plain Flowerpecker,Dicaeum minullum,Least Concern,Schedule-IV,,X,NA,NA,9.236816605,43.33651795,13.1467185,0.1057,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
786,Andaman Flowerpecker,Dicaeum virescens,Least Concern,Schedule-IV,,X,NA,NA,8.920415485,13.98307149,0.4865748,0.0058,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
787,Fire-breasted Flowerpecker,Dicaeum ignipectus,Least Concern,Schedule-IV,X,X,-26.12310346,45.01263384,8.669461104,13.11482753,14.0823817,0.0636,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
788,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Least Concern,Schedule-IV,X,X,-9.222973278,88.02947415,-14.59972858,10.15856109,11.4645365,0.0772,Uncertain,Strong Decline,Moderate,Moderate,Trends & Range Size,Resident
789,Ruby-cheeked Sunbird,Chalcoparia singalensis,Least Concern,Schedule-IV,,X,NA,NA,10.97445694,78.19756085,9.0099825,0.1034,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
790,Purple-rumped Sunbird,Leptocoma zeylonica,Least Concern,Schedule-IV,X,X,20.33516131,20.44718243,1.504020332,2.945413779,120.3992323,0.07,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
791,Crimson-backed Sunbird,Leptocoma minima,Least Concern,Schedule-IV,X,X,-80.28843063,10.92549614,-1.174302828,9.664401488,17.1243275,0.0354,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
792,Purple Sunbird,Cinnyris asiaticus,Least Concern,Schedule-IV,X,X,30.33169203,15.08635309,0.349392735,1.91593325,200.3769134,0.0767,Stable,Stable,Very Large,Low,Trends & Range Size,Resident
793,Loten's Sunbird,Cinnyris lotenius,Least Concern,Schedule-IV,X,X,-33.81109825,23.80917809,0.806750697,6.454917937,30.9574329,0.0535,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
