Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
849,Grey-necked Bunting,Emberiza buchanani,Least Concern,Schedule-IV,,X,NA,NA,-1.535670762,33.68062333,13.5539488,0.0738,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
850,Yellow-breasted Bunting,Emberiza aureola,Critically Endangered,Schedule-IV,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Migratory-Long-Distance
851,House Sparrow,Passer domesticus,Least Concern,Schedule-IV,X,X,2.813297667,11.93522934,-2.029331313,1.785627852,113.2427374,0.0943,Stable,Stable,Very Large,Low,Trends & Range Size,Resident
852,Sind Sparrow,Passer pyrrhonotus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.8524558,0.0637,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
853,Russet Sparrow,Passer cinnamomeus,Least Concern,Schedule-IV,X,X,27.45030631,70.2092068,-1.375190683,9.156910136,21.0505426,0.051,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
854,Eurasian Tree Sparrow,Passer montanus,Least Concern,Schedule-IV,X,X,-45.48516453,33.76323736,0.147254194,11.11669234,18.2531676,0.0575,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
855,Yellow-throated Sparrow,Gymnoris xanthocollis,Least Concern,Schedule-IV,X,X,-37.02123581,14.77768791,-2.734828436,3.637818548,124.1355171,0.0929,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
856,Streaked Weaver,Ploceus manyar,Least Concern,Schedule-IV,X,X,-38.7404477,27.80723931,-10.50417621,5.211047292,38.7014775,0.0989,Uncertain,Strong Decline,Large,Moderate,Trends & Range Size,Resident
857,Baya Weaver,Ploceus philippinus,Least Concern,Schedule-IV,X,X,-2.094053284,18.96684769,-4.75586078,2.772646063,157.9742045,0.1078,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
858,Finn's Weaver,Ploceus megarhynchus,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,1.8855957,0.0835,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
859,Black-breasted Weaver,Ploceus benghalensis,Least Concern,Schedule-IV,,X,NA,NA,-0.132127267,8.223533483,32.2442885,0.0897,Data Deficient,Uncertain,Large,Low,Trends & Range Size,Resident
860,Green Munia,Amandava formosa,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,0.3125,0,Data Deficient,Data Deficient,Very Restricted,High,Range Size,Resident
861,Red Munia,Amandava amandava,Least Concern,Schedule-IV,X,X,41.37215915,39.92962913,-3.783751637,4.109122342,93.9219201,0.0965,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
862,Indian Silverbill,Euodice malabarica,Least Concern,Schedule-IV,X,X,7.649831562,21.87183089,2.071793093,3.788584086,153.7954572,0.0823,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
863,White-rumped Munia,Lonchura striata,Least Concern,Schedule-IV,X,X,-17.76643412,22.82824832,-7.619514642,3.457395818,72.2911162,0.0842,Stable,Strong Decline,Large,Moderate,Trends & Range Size,Resident
864,Black-throated Munia,Lonchura kelaarti,Least Concern,Schedule-IV,,X,NA,NA,-3.926319213,10.31928455,11.1418565,0.0384,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
865,Scaly-breasted Munia,Lonchura punctulata,Least Concern,Schedule-IV,X,X,49.63599127,27.62601885,-3.515204779,2.566392706,166.225373,0.1123,Uncertain,Uncertain,Very Large,Low,Trends & Range Size,Resident
866,Tricoloured Munia,Lonchura malacca,Least Concern,Schedule-IV,X,X,5.852769767,30.34993198,-7.289224324,3.729070914,95.7051818,0.1223,Uncertain,Strong Decline,Large,Moderate,Trends & Range Size,Resident
867,Chestnut Munia,Lonchura atricapilla,Least Concern,Schedule-IV,,,NA,NA,NA,NA,NA,NA,,,,,,Resident
